timestamp,event_type,content
1733330498.101658,feedback_received,"Nano_Current: 529,533,531,529,533"
1733330498.1150432,command_sent,"<051,035,160,090,120>"
1733330498.135194,command_sent,"<053,035,160,090,120>"
1733330498.1529212,command_sent,"<054,035,160,090,120>"
1733330498.173408,feedback_received,"Uno_FB: 232,218,215,336"
1733330498.174127,feedback_received,"Uno_FB: 233,218,215,337"
1733330498.174834,feedback_received,"Uno_FB: 237,218,214,336"
1733330498.175128,feedback_received,Nano_Servo5_FB: 402
1733330498.1755588,feedback_received,"Nano_Current: 529,533,531,530,532"
1733330498.188543,command_sent,"<056,035,160,090,120>"
1733330498.189227,command_sent,"<057,035,160,090,120>"
1733330498.208705,command_sent,"<059,035,160,090,120>"
1733330498.226528,command_sent,"<061,035,160,090,120>"
1733330498.2461061,feedback_received,"Uno_FB: 241,218,215,337"
1733330498.2467551,feedback_received,"Uno_FB: 253,218,215,337"
1733330498.246977,feedback_received,Nano_Servo5_FB: 402
1733330498.247403,feedback_received,"Nano_Current: 528,533,531,530,532"
1733330498.247529,feedback_received,Nano_Servo5_FB: 402
1733330498.247902,feedback_received,"Nano_Current: 530,533,531,529,533"
1733330498.261617,command_sent,"<062,035,160,090,120>"
1733330498.2814589,command_sent,"<064,035,160,090,120>"
1733330498.299532,command_sent,"<065,035,160,090,120>"
1733330498.319412,feedback_received,"Uno_FB: 256,218,215,337"
1733330498.3200371,feedback_received,"Uno_FB: 262,218,215,337"
1733330498.320265,feedback_received,Nano_Servo5_FB: 402
1733330498.320704,feedback_received,"Nano_Current: 531,532,531,529,533"
1733330498.334029,command_sent,"<067,035,160,090,120>"
1733330498.334761,command_sent,"<068,035,160,090,120>"
1733330498.35419,command_sent,"<070,035,160,090,120>"
1733330498.37182,command_sent,"<071,035,160,090,120>"
1733330498.3911612,feedback_received,"Uno_FB: 261,219,215,337"
1733330498.3917792,feedback_received,"Uno_FB: 273,218,215,337"
1733330498.3920052,feedback_received,Nano_Servo5_FB: 401
1733330498.392434,feedback_received,"Nano_Current: 528,532,532,529,531"
1733330498.3925571,feedback_received,Nano_Servo5_FB: 402
1733330498.39293,feedback_received,"Nano_Current: 531,534,532,530,532"
1733330498.40611,command_sent,"<073,035,160,090,120>"
1733330498.4067872,command_sent,"<074,035,160,090,120>"
1733330498.426229,command_sent,"<076,035,160,090,120>"
1733330498.444159,command_sent,"<078,035,160,090,120>"
1733330498.4639812,feedback_received,"Uno_FB: 275,218,215,336"
1733330498.4646242,feedback_received,"Uno_FB: 281,218,215,336"
1733330498.464882,feedback_received,Nano_Servo5_FB: 401
1733330498.4653099,feedback_received,"Nano_Current: 527,532,532,530,532"
1733330498.478445,command_sent,"<079,035,160,090,120>"
1733330498.479126,command_sent,"<081,035,160,090,120>"
1733330498.498795,command_sent,"<082,035,160,090,120>"
1733330498.518141,command_sent,"<084,035,160,090,120>"
1733330498.519264,feedback_received,"Uno_FB: 285,218,215,336"
